accepted_coded,Coder,Code Category,Code Subcategory,Discourse Category,Question Code,Answer Code,Root Cause
12705,,Model Usage and Understanding / Tutorial and Documentation,Model Converting (ONNX) / Lack of DOcumentation,Intermediate,Lack of documentation to do a specific task [convert model [GPT-NEO] to ONNX Session and get generated task],Problem fixed by attempts of the user from various sources,Lack of documentation by HF for model converting
12404,,External Platforms and Libraries,External Platforms and Libraries,Spaces,Error importing an external library [opencv/cv2] in spaces,Expert opinion for a solution [suggesting alternative library that works [python3-opencv]],Lack of support for different libraries in HF
11202,,Model Usage and Understanding,Saving/Loading Models,Beginners,Question on loading model from local server rather than internet,Expert opinion for guidelines on loading models using HF API,Lack of knowledge for API Usage by User
11271,,Specific Solution Need,Specific Solution Need,Beginners,Asking suggestion for a model to do a specific task [question/answering for yes/no],Expert opinion for performing a specific task [yes/no QA],Lack of theoretical Knowlege by user
11298,,Dataset Acquisition and Usage,Custom Datasets,Datasets,Question on dataset customization,Expert opinion for making custom dataset with link to examples,Lack of knowledge about HF Datasets by user
11414,,Model Usage and Understanding ,Custom Models,Datasets,Expert opinion for custom input to the model/pipeline,Expert opinion for making custom dataset with link to examples,Lack of feature support by HF [alternative input to pipeline]/Lack of knowledge by user
16168,,Model Usage and Understanding ,Custom Models,Models,Error when adding custom head and loss for model [BERT],The demander came back with the solution [implementation by modifying HF source code],Lack of documentation for source code in HF
18019,,Training and Pipeline,Fine Tuning,Beginners,Error about input when fine-tuning a model [BERT] for a task [Token Classification] using official notebooks with reference to similar issue on the forum [snowball effect],The demander came back with the solution [debugged by removing the forbidden character in TrainingArguments],Lack of clarity in the official examples in the documentation
19722,,Memory & Performance,Speed,Tokenizers,Issue with tokenizer speed time,Expert opinion for solution [explaining different types of tokenizers],Lack of knowledge by user about different tokenizers available on HF
20369,,External Platforms and Libraries,Amazon,Models,beginner Question on TimeoutError when loading model [GPT-J] using external platform [Amazon Sagemaker],Community member shared link to related HF blog post and tutorial,Not clear
26564,,Training and Pipeline,Special Training Scenario,Transformers,beginner Question on TimeoutError when loading model [GPT-J] using external platform [Amazon Sagemaker],Expert providing solution for custom training setting [using custom logit instead of custom stopping criteria],Lack of theoretical knowledge by user
26596,,Tutorial and Documentation Issues,Official Examples,Datasets,Question on availability of example jsonline file format for train and validation arguments ,HF member sharing links to the required examples and datasets on HF,Lack of familiarity of user with HF
26596,,Dataset Acquisition and Usage,Datasets,Datasets,Question on the availability of datasets for a special task [translation],HF member sharing links to the required examples and datasets on HF,Lack of familiarity of user with HF
25554,,Dataset Acquisition and Usage,Datasets,Datasets,Issue setting task template for multi-label dataset,HF member explaining the programming mistake in dataset script by user and opening a PR for the dataset on the Hub,Programming mistakes by the user
16366,,Spaces,Spaces,Gradio,Question on creating space from private model hosted on hub,Expert providong details about the working of the API (from_pretrained) to use private model with authenticcation for building a space,Lack of knowlege about API by user
12142,,Training and Pipeline,Special Training Scenario,Intermediate,Question on managing batch processing when accumulating gradients,Expert opinion for guidelines on accumulated gradients,Lack of practical knowledge/experience by user
14804,,API Usage issue,API Usage,Beginners,Beginner question about getting accuracy metrics when fine-tuning model in TF following official example in documentation,Fellow user solution for TF API usage for passing metrics with reference to documentation,Lack of knowledge about TF API by user
32373,,Training and Pipeline,Training,Beginners,Question on reason for no output for validation loss and metrics,Demander came back with solution about valid format for label_names when training,Lack of knowledge about API by user
33401,,External Platforms and Libraries,DL Framework,Beginners,Asking for the best version of Framework [TensorFlow] for using with HFT,Asker found out the answer to which version of TF is best to use (TF2),Not clear
38048,,Feature/Model Requests,Implementation of HF/SourceCode,Spaces,User asking if they can adjust sh memory when making a space with Docker,HF member declares the limitation in sh memory in spaces was removed,Limitation by HF implementation in spaces
39291,,Privacy and Security,Privacy and security,Hub,Question on how to share private dataset with specific user without making it public,Expert opinion for guidelines to share private dataset,Lack of knowlege about access to datasets on hub by user
41198,,Training and Pipeline,Training,Diffusers,Question on calculated loss of Diffusion Model,Expert opinion for explanation on calculated loss of Diffusion Model,Lack of theoretical knowledge by user
44310,,Memory & Performance,GPU & Optimization,Datasets,Incomprehensible error when loading dataset with multiprocessing enabled with link to similar issue on forums [snowball effect],Demander came back with solution: mistake on setting number of torch threads,Lack of knowledge about Torch API by user
10888,,Dataset Acquisition and Usage,Custom Datasets,Datasets,Question on making a custom dataset from HDF5 files,HF member providing solution for making custom dataset from HDF5 file with example code,Lack of programming knowledge and API knowledge by user
10677,,External Platforms and Libraries,Amazon,Amazon Sagemaker,Question with example code about using private model for inference on sagemaker,expert opinion pointing to a external resource [aws github documentation] about using private models with sagemaker,Lack of documentation by HF for using private model on sagemaker
20353,,External Platforms and Librairies,Amazon,Amazon SageMaker,error deploying custom model to external platform [amazon sagemaker],HF expert mentionong feature [custom model support] not available for external platform [sagemaker] with reference to personal blog [link],Lack of knowledge by the user about deploying spacy model
23843,,API usage issues,API usage,Transformers,user not knowing how to get a value from API/ which API,user finding the GitHub PR [snowball effect] that addresses the feature they wanted [API returning certain value],Lack of knowledge for API Usage by User
29883,,Website and pricing,File not found,Spaces,package not found when installing dependencies on spaces,HF member announcing related bug is fixed.,Bug
36425,,Incomprehensible Output,Incomprehensible output,Models,User gets a faulty .bin model [GPT NeoX 20B] after fine-tuning,[Snowball effect] User providing solution with link to Github Issue,Issue caused by external library
1619,,Feature/Model Requests,Request Feature Model,Beginners,Asking for suggestion for a specific task [dump a single submodel from 2 existing on dumped checkpoints],Expert sharing directory for single submodel,Lack of programming knowledge
4081,,Memory & Performance,Large files,Transformers,Uploading larger files (> 5GB) to model hub issue with links to GitHub issues [snowball effect],HF Software Engineer declaring that they solved the issue by setting the time-out upload time to 24h,Limitation by HF on upload time
5845,,Model Usage and Understanding,Model Converting(ONNX),Beginners,Asking for warning explanation while converting a model with transformers,The asker came back with the solution by saving the module without dataparallel wrapper,Lack of practical knowledge/experience by user
8133,,Training and Finetuning issues,Training,Beginners,Asking for help in task [paddinsg short audio] with reference to official examples,The asker found the solution,Lack of practical knowledge/experience by user
3098,,Model Usage and Understanding,Model evaluation and comparison,Transformers,Incomprehensible error while running official GLUE examples with custom dataset and model,Original asker explaining the original solution and asking for more details to help the fellow member,Lack of theoretical knowledge by user
10193,,Model Usage and Understanding,Saving/Loading Models,Beginners,Incomprehensible import error when loading HF tokenizer following official Keras example,Issue solved by installing compiler,Lack of practical knowledge/experience by user
14331,,Memory & Performance,Memory,Datasets,Question on RAM consumation,Expert opinion for guidelines on decreasing default_writer_batch_size,Lack of practical knowledge/experience by user
28446,,Training and Finetuning issues,Fine Tuning,Models,Incomprehensible value error when fine-tuning model [blip],Expert opinion on recent pull-request fixing the issue,Limitation by HF on finetuning BLIP with custom dataset
20801,,Training and Finetuning issues,Training,Transformers,Question on hyperparameters,The asker got better results by changing hyperparameter values,Lack of practical knowledge/experience by user
13873,,Dataset Acquisition and Usage,Custom Datasets,Datasets,Question on dataset customization,HF member sharing code for solution,Lack of practical knowledge/experience by user
34802,,Feature/Model Requests,Implementation of HF/SourceCode,Diffusers,Question on using the dreamBooth technique to get outputs for different classes with a single model,External link for solution for multi subject DreamBooth,Lack of practical knowledge/experience by user
38171,,Training and Finetuning issues,Training,Accelerate,Error on implementing a trainer,HF member sharing link and tips on implementing  a trainer,Lack of theoretical knowledge by user
3493,,Model Usage and Understanding,Understanding Model Functioning,Beginners,Questions from beginner to understand models parameters/functioning,Expert providing code for problem [multiple masked tokens and outputting the whole sentence] without explanation ,Lack of practical knowledge/experience by user
1216,,Tutorial and Documentation Issues,Lack of DOcumentation,Transformers,Confusion about parameter of the class/model [BertforTokenClassification] mentioned in Documentation + Confusion about class/model label [-100 to be ignored in loss computation] following tutorial and documentation,,Lack of clarity in documentation
639,,Model Usage and Understanding,Understanding Model Functioning,Beginners,Questions to understand models parameters/functioning [lm_head tie to input embedding] after reading documentation and link to issue on github [snowball effect],HF member clarifying model structure [embedding matrix and meth of decoding],Lack of theoretical knowledge by user
